date,Total nonfarm,Construction,Education and health services,Financial activities,Government,Information,Leisure and hospitality,Manufacturing,Mining and logging,Professional and business services,Other services,"Average hourly earnings of all employees, total private"
Jan-2010,129790,5580,19820,7732,22491,2737,12932,11460,667,16572,5323,22.41
Feb-2010,129698,5500,19839,7724,22476,2737,12927,11453,674,16591,5316,22.45
Mar-2010,129879,5537,19896,7708,22518,2718,12943,11453,682,16574,5329,22.45
Apr-2010,130110,5553,19902,7708,22569,2715,12979,11489,687,16666,5335,22.49
May-2010,130650,5520,19934,7699,22996,2709,13012,11525,697,16702,5330,22.53
Jun-2010,130511,5516,19955,7688,22740,2703,13034,11545,702,16764,5315,22.53
Jul-2010,130427,5508,19980,7677,22569,2703,13048,11561,708,16773,5326,22.59
Aug-2010,130422,5524,20017,7676,22420,2702,13081,11553,716,16833,5323,22.62
Sep-2010,130357,5501,20001,7683,22247,2697,13137,11563,723,16850,5332,22.67
Oct-2010,130625,5508,20074,7682,22297,2695,13127,11562,731,16917,5357,22.74
Nov-2010,130750,5506,20119,7681,22287,2689,13126,11585,736,17011,5346,22.73
Dec-2010,130822,5467,20134,7684,22266,2682,13157,11595,734,17080,5337,22.76
Jan-2011,130841,5427,20153,7680,22258,2678,13149,11621,736,17091,5327,22.85
Feb-2011,131053,5451,20163,7676,22215,2673,13188,11654,739,17170,5337,22.87
Mar-2011,131288,5477,20177,7681,22192,2672,13247,11675,754,17235,5333,22.87
Apr-2011,131602,5485,20237,7679,22184,2674,13298,11704,768,17297,5342,22.92
May-2011,131703,5516,20252,7702,22129,2679,13293,11713,778,17348,5346,22.99
Jun-2011,131939,5528,20288,7692,22164,2685,13343,11727,790,17363,5352,23.01
Jul-2011,131999,5547,20327,7694,22049,2676,13370,11746,801,17371,5359,23.10
Aug-2011,132125,5552,20367,7700,22017,2634,13395,11764,804,17446,5376,23.07
Sep-2011,132358,5584,20415,7694,21983,2677,13426,11769,814,17510,5381,23.11
Oct-2011,132562,5588,20457,7707,21998,2677,13464,11780,820,17556,5382,23.21
Nov-2011,132694,5593,20496,7721,21971,2676,13511,11770,824,17591,5390,23.18
Dec-2011,132896,5611,20530,7729,21954,2678,13538,11802,831,17658,5403,23.21
Jan-2012,133250,5626,20574,7735,21946,2665,13600,11838,840,17745,5414,23.24
Feb-2012,133512,5629,20657,7743,21947,2676,13641,11860,845,17816,5415,23.27
Mar-2012,133752,5625,20689,7768,21943,2678,13706,11898,849,17848,5422,23.36
Apr-2012,133834,5618,20707,7771,21931,2679,13709,11916,850,17897,5417,23.39
May-2012,133934,5604,20747,7783,21911,2685,13705,11927,855,17922,5417,23.39
Jun-2012,134007,5621,20738,7783,21930,2674,13702,11936,854,17977,5424,23.46
Jul-2012,134159,5632,20773,7779,21913,2680,13735,11964,851,18020,5433,23.51
Aug-2012,134331,5648,20801,7788,21916,2676,13804,11960,851,18052,5431,23.49
Sep-2012,134518,5661,20841,7800,21925,2670,13872,11954,846,18066,5442,23.57
Oct-2012,134677,5674,20881,7809,21903,2667,13883,11961,837,18139,5446,23.56
Nov-2012,134833,5684,20887,7815,21883,2674,13910,11950,843,18193,5449,23.63
Dec-2012,135072,5724,20935,7827,21887,2675,13978,11960,848,18230,5452,23.73
Jan-2013,135263,5746,20956,7836,21869,2661,14037,11983,851,18273,5458,23.76
Feb-2013,135541,5784,20958,7850,21881,2699,14082,11996,858,18367,5456,23.77
Mar-2013,135680,5802,21007,7857,21870,2699,14113,11999,859,18421,5451,23.81
Apr-2013,135871,5796,21054,7872,21869,2696,14152,12000,857,18483,5455,23.87
May-2013,136093,5829,21071,7883,21864,2711,14193,12000,862,18537,5470,23.89
Jun-2013,136274,5855,21070,7888,21840,2707,14252,12004,865,18582,5480,23.97
Jul-2013,136386,5859,21074,7904,21815,2720,14288,11984,862,18629,5483,23.98
Aug-2013,136628,5878,21143,7903,21831,2690,14327,12014,864,18655,5494,24.03
Sep-2013,136815,5910,21133,7904,21835,2707,14339,12032,868,18683,5502,24.06
Oct-2013,137040,5931,21158,7910,21830,2719,14395,12056,870,18732,5509,24.09
Nov-2013,137304,5963,21194,7910,21843,2724,14432,12079,869,18801,5513,24.16
Dec-2013,137373,5932,21196,7914,21820,2726,14454,12083,866,18790,5525,24.17
Jan-2014,137548,5985,21228,7913,21814,2721,14489,12081,871,18837,5533,24.21
Feb-2014,137714,6007,21251,7930,21825,2719,14509,12106,875,18899,5535,24.32
Mar-2014,137968,6038,21294,7932,21833,2725,14564,12120,879,18944,5553,24.31
Apr-2014,138293,6084,21321,7944,21853,2722,14614,12134,886,19002,5565,24.34
May-2014,138511,6109,21364,7951,21832,2719,14670,12146,887,19044,5566,24.40
Jun-2014,138837,6133,21410,7968,21895,2725,14693,12170,892,19105,5563,24.44
Jul-2014,139069,6178,21453,7980,21901,2724,14703,12189,897,19142,5565,24.48
Aug-2014,139257,6210,21491,7995,21855,2731,14725,12208,898,19201,5580,24.55
Sep-2014,139566,6242,21543,8008,21897,2732,14768,12226,903,19257,5575,24.56
Oct-2014,139818,6259,21573,8016,21917,2726,14811,12259,901,19285,5582,24.58
Nov-2014,140109,6272,21626,8034,21932,2735,14849,12284,900,19339,5590,24.65
Dec-2014,140377,6293,21678,8041,21947,2735,14892,12292,896,19418,5592,24.65
Jan-2015,140568,6320,21741,8059,21960,2738,14915,12292,888,19442,5600,24.73
Feb-2015,140839,6361,21789,8072,21978,2742,14972,12301,875,19487,5605,24.78
Mar-2015,140910,6334,21832,8081,21970,2737,14981,12312,859,19513,5607,24.84
Apr-2015,141194,6392,21906,8088,22005,2741,15023,12318,843,19557,5614,24.89
May-2015,141525,6427,21958,8095,22012,2749,15103,12333,820,19638,5623,24.96
Jun-2015,141699,6441,21998,8117,22015,2750,15108,12334,816,19689,5617,24.98
Jul-2015,142001,6472,22053,8137,22050,2753,15168,12349,805,19726,5629,25.00
Aug-2015,142126,6490,22094,8143,22060,2754,15201,12345,794,19755,5620,25.10
Sep-2015,142281,6508,22131,8153,22040,2764,15279,12354,779,19778,5621,25.11
Oct-2015,142587,6547,22215,8168,22056,2763,15316,12362,771,19851,5630,25.19
Nov-2015,142824,6598,22260,8180,22081,2750,15374,12357,756,19885,5638,25.24
Dec-2015,143097,6630,22323,8188,22097,2759,15406,12362,746,19955,5653,25.27
Jan-2016,143170,6620,22337,8203,22118,2763,15441,12379,731,19953,5649,25.36
Feb-2016,143433,6650,22405,8211,22144,2778,15497,12367,711,19968,5666,25.38
Mar-2016,143662,6680,22452,8226,22180,2785,15538,12345,691,19998,5674,25.45
Apr-2016,143849,6701,22510,8249,22186,2789,15561,12349,678,20030,5678,25.53
May-2016,143891,6691,22567,8263,22197,2753,15582,12332,666,20038,5670,25.58
Jun-2016,144158,6702,22624,8280,22184,2798,15637,12351,656,20081,5681,25.63
Jul-2016,144512,6736,22668,8302,22285,2799,15684,12369,652,20125,5687,25.70
Aug-2016,144647,6737,22714,8317,22268,2805,15724,12348,647,20131,5702,25.72
Sep-2016,144916,6768,22773,8325,22303,2812,15761,12347,647,20198,5713,25.77
Oct-2016,145061,6798,22834,8331,22292,2814,15779,12347,644,20216,5718,25.88
Nov-2016,145212,6819,22868,8342,22290,2809,15829,12342,647,20253,5729,25.91
Dec-2016,145442,6821,22929,8369,22308,2812,15846,12356,648,20288,5715,25.94
Jan-2017,145627,6847,22938,8399,22302,2819,15878,12369,649,20338,5731,26.00
Feb-2017,145815,6889,23012,8401,22319,2814,15910,12384,655,20347,5742,26.08
Mar-2017,145944,6909,23051,8409,22325,2813,15922,12395,660,20376,5745,26.11
Apr-2017,146141,6916,23101,8424,22330,2809,15986,12400,669,20406,5748,26.17
May-2017,146296,6928,23139,8432,22332,2804,16021,12406,673,20463,5759,26.21
Jun-2017,146512,6955,23167,8448,22346,2807,16063,12418,677,20498,5767,26.27
Jul-2017,146727,6960,23227,8460,22359,2809,16134,12417,679,20540,5774,26.36
Aug-2017,146911,6990,23264,8469,22357,2815,16138,12461,684,20568,5780,26.38
Sep-2017,146929,7004,23295,8477,22366,2811,16065,12470,687,20571,5773,26.51
Oct-2017,147196,7027,23322,8482,22369,2812,16156,12492,687,20619,5795,26.48
Nov-2017,147421,7066,23374,8494,22393,2813,16170,12514,693,20649,5806,26.55
Dec-2017,147551,7093,23383,8498,22381,2819,16190,12541,692,20683,5806,26.64
Jan-2018,147672,7114,23437,8504,22355,2815,16193,12558,699,20738,5811,26.71
Feb-2018,148078,7200,23491,8533,22406,2815,16218,12588,706,20781,5815,26.75
Mar-2018,148254,7205,23523,8538,22404,2826,16220,12611,714,20823,5812,26.84
Apr-2018,148391,7223,23538,8545,22414,2839,16217,12632,722,20868,5819,26.91
May-2018,148669,7266,23576,8567,22431,2837,16263,12658,724,20914,5831,26.98
Jun-2018,148888,7282,23617,8586,22459,2837,16310,12687,729,20948,5844,27.04
