date,16 years and over,16 years and over - Asian,16 years and over - Black or African American,16 years and over - Hispanic or Latino,16 years and over - White,20 years and over - Men,20 years and over - Women,25 years and over - Less than a High School diploma,"25 years and over - High School graduates, no college",25 years and over - Some college or associate degree,25 years and over - Bachelor's degree and higher
Jan-2010,9.8,8.3,16.5,12.9,8.8,10.2,7.9,15.3,10.2,8.6,4.9
Feb-2010,9.8,8.2,16.1,12.7,8.9,10.3,8.0,15.8,10.7,8.1,4.9
Mar-2010,9.9,7.6,16.8,12.9,8.9,10.2,8.1,14.9,11.0,8.4,4.9
Apr-2010,9.9,7.0,16.6,12.5,9.0,10.2,8.3,14.7,10.8,8.4,4.8
May-2010,9.6,7.8,15.5,12.0,8.7,9.7,8.1,14.6,10.9,8.2,4.6
Jun-2010,9.4,7.4,15.2,12.3,8.6,9.7,7.7,14.2,10.6,8.1,4.4
Jul-2010,9.4,7.9,15.6,12.2,8.5,9.6,7.9,13.5,10.0,8.3,4.5
Aug-2010,9.5,7.3,15.9,12.0,8.6,9.6,8.0,14.1,10.0,8.7,4.6
Sep-2010,9.5,6.6,16.0,12.3,8.6,9.6,8.0,15.6,9.7,8.9,4.5
Oct-2010,9.4,7.2,15.6,12.3,8.6,9.4,8.0,15.0,9.8,8.2,4.6
Nov-2010,9.8,7.5,16.2,12.9,8.9,9.9,8.4,15.4,10.0,8.6,5.0
Dec-2010,9.3,7.2,15.5,12.9,8.5,9.4,8.0,15.0,9.8,8.1,4.8
Jan-2011,9.1,6.8,15.8,12.3,8.1,9.0,7.9,14.3,9.5,8.1,4.3
Feb-2011,9.0,6.7,15.5,11.8,8.1,8.9,7.9,14.0,9.7,7.9,4.3
Mar-2011,9.0,7.3,15.8,11.6,8.0,8.8,7.8,14.1,9.7,7.5,4.4
Apr-2011,9.1,6.5,16.5,11.9,8.1,8.9,8.0,14.7,9.9,7.5,4.5
May-2011,9.0,7.2,16.3,11.6,7.9,8.8,8.0,14.5,9.6,7.8,4.5
Jun-2011,9.1,6.5,16.2,11.5,8.1,9.0,8.0,14.4,10.0,8.3,4.3
Jul-2011,9.0,7.4,15.9,11.2,8.0,8.8,7.9,14.5,9.1,8.3,4.2
Aug-2011,9.0,7.2,16.4,11.2,7.9,8.7,7.9,14.1,9.3,8.3,4.2
Sep-2011,9.0,8.0,15.9,11.2,7.9,8.7,8.2,14.3,9.4,8.5,4.2
Oct-2011,8.8,7.4,14.6,11.3,7.9,8.6,7.8,13.5,9.4,8.1,4.3
Nov-2011,8.6,6.4,15.6,11.2,7.7,8.2,7.8,12.8,8.8,7.7,4.4
Dec-2011,8.5,6.8,15.4,11.1,7.5,8.0,7.8,13.7,8.7,7.6,4.1
Jan-2012,8.3,6.7,13.6,10.7,7.4,7.7,7.6,13.0,8.5,7.1,4.3
Feb-2012,8.3,6.2,14.0,10.9,7.4,7.7,7.6,13.1,8.3,7.2,4.2
Mar-2012,8.2,6.4,14.0,10.6,7.3,7.7,7.4,12.8,8.1,7.5,4.1
Apr-2012,8.2,5.4,13.3,10.3,7.4,7.6,7.4,12.5,8.0,7.6,4.0
May-2012,8.2,5.5,13.5,10.9,7.4,7.7,7.4,12.9,8.3,7.7,3.9
Jun-2012,8.2,6.1,14.5,10.9,7.3,7.7,7.4,12.6,8.6,7.3,4.0
